               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  76,           0.0092979,           0.0080315,           0.0020991,             0.96572,             0.94037,             0.96963,             0.83492,            0.013225,           0.0092482,           0.0052439,            0.002575,            0.002575,            0.002575
                  77,           0.0090328,           0.0079948,           0.0019219,             0.95777,             0.95871,             0.96731,             0.83356,            0.013372,           0.0093914,           0.0049723,            0.002476,            0.002476,            0.002476
                  78,           0.0089513,           0.0080711,           0.0021515,             0.94734,             0.96789,             0.96477,             0.83497,            0.013142,           0.0091805,           0.0048563,            0.002377,            0.002377,            0.002377
                  79,           0.0087353,           0.0078779,           0.0019548,             0.95724,             0.94953,             0.96514,             0.83388,            0.013281,            0.010245,           0.0049341,            0.002278,            0.002278,            0.002278
                  80,           0.0088004,           0.0078351,           0.0020932,             0.95314,             0.95872,             0.96306,             0.83502,            0.013132,            0.010181,           0.0047356,            0.002179,            0.002179,            0.002179
                  81,           0.0085157,           0.0079524,           0.0017857,              0.9474,             0.95871,             0.96317,             0.83702,            0.013143,           0.0096737,           0.0049762,             0.00208,             0.00208,             0.00208
                  82,           0.0083403,            0.007683,           0.0022516,             0.95416,             0.95406,              0.9616,             0.82814,            0.013316,           0.0095984,           0.0050429,            0.001981,            0.001981,            0.001981
                  83,           0.0084008,           0.0076088,           0.0020278,              0.9543,             0.94037,             0.96446,             0.82772,             0.01346,           0.0097911,           0.0050092,            0.001882,            0.001882,            0.001882
                  84,           0.0084458,           0.0076392,           0.0014572,             0.95105,             0.96329,             0.96321,             0.83154,            0.013392,           0.0096006,           0.0048614,            0.001783,            0.001783,            0.001783
                  85,           0.0082536,           0.0073367,           0.0016644,             0.96002,             0.95869,             0.96312,             0.82801,            0.013539,           0.0099324,           0.0047197,            0.001684,            0.001684,            0.001684
                  86,             0.00811,           0.0075358,           0.0018981,             0.95563,             0.96329,             0.96369,             0.82701,            0.013632,           0.0098097,           0.0048453,            0.001585,            0.001585,            0.001585
